RESULT: fit=0.000333444481494, mut = 0.05, mut_change = 0.01, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000338294993234, mut = 0.01, mut_change = 0.3, cx = 0.01, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000341646737274, mut = 0.01, mut_change = 0.01, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000344589937974, mut = 0.01, mut_change = 0.03, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000346140533056, mut = 0.05, mut_change = 0.01, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000346620450607, mut = 0.03, mut_change = 0.01, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000351864883885, mut = 0.01, mut_change = 0.03, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000355618776671, mut = 0.01, mut_change = 0.03, cx = 0.01, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000357781753131, mut = 0.01, mut_change = 0.2, cx = 0.3, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000359582883855, mut = 0.05, mut_change = 0.01, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00036563071298, mut = 0.01, mut_change = 0.03, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000366166239473, mut = 0.01, mut_change = 0.2, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000367782272894, mut = 0.01, mut_change = 0.05, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000369685767098, mut = 0.01, mut_change = 0.3, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000369959304477, mut = 0.03, mut_change = 0.3, cx = 0.3, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000374111485223, mut = 0.01, mut_change = 0.01, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000374672161858, mut = 0.03, mut_change = 0.01, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000376931775349, mut = 0.01, mut_change = 0.01, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000377786173026, mut = 0.01, mut_change = 0.3, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000379075056861, mut = 0.01, mut_change = 0.1, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000383729854183, mut = 0.01, mut_change = 0.01, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00038714672861, mut = 0.01, mut_change = 0.01, cx = 0.2, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000388198757764, mut = 0.03, mut_change = 0.01, cx = 0.05, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000389105058366, mut = 0.01, mut_change = 0.1, cx = 0.01, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000389256520047, mut = 0.03, mut_change = 0.3, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00039952057531, mut = 0.01, mut_change = 0.03, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000401123144805, mut = 0.01, mut_change = 0.01, cx = 0.3, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.00040192926045, mut = 0.05, mut_change = 0.3, cx = 0.2, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000402738622634, mut = 0.01, mut_change = 0.05, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00040404040404, mut = 0.01, mut_change = 0.01, cx = 0.5, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000404203718674, mut = 0.01, mut_change = 0.1, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00040733197556, mut = 0.01, mut_change = 0.01, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000408163265306, mut = 0.03, mut_change = 0.03, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000409332787556, mut = 0.01, mut_change = 0.01, cx = 0.1, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000410340582684, mut = 0.03, mut_change = 0.01, cx = 0.05, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.000416840350146, mut = 0.01, mut_change = 0.2, cx = 0.2, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000419991600168, mut = 0.03, mut_change = 0.03, cx = 0.05, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.00042034468264, mut = 0.01, mut_change = 0.1, cx = 0.2, select = [<function selRandom at 0x0000000002EC5048>, {'k': 20}]
RESULT: fit=0.00042034468264, mut = 0.03, mut_change = 0.2, cx = 0.05, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000424088210348, mut = 0.03, mut_change = 0.05, cx = 0.3, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00042662116041, mut = 0.01, mut_change = 0.2, cx = 0.1, select = [<function selBest at 0x0000000002EC50B8>, {'k': 5}]
RESULT: fit=0.000427533133818, mut = 0.01, mut_change = 0.1, cx = 0.1, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.00043233895374, mut = 0.03, mut_change = 0.01, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.0004329004329, mut = 0.05, mut_change = 0.3, cx = 0.01, select = [<function selTournament at 0x0000000002EC5198>, {'k': 10}]
RESULT: fit=0.000433087916847, mut = 0.01, mut_change = 0.01, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000434404865334, mut = 0.01, mut_change = 0.01, cx = 0.5, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
RESULT: fit=0.000434593654933, mut = 0.01, mut_change = 0.2, cx = 0.1, select = [<function selRoulette at 0x0000000002EC5208>, {'k': 20}]
